Ruitelán,42.672633,-6.9680231
Las Herrerías,42.67048399999999,-6.9803112
La Faba,42.6850529,-7.009611
La Laguna de Castilla,42.7010004,-7.0211783
O Cebreiro,42.7078162,-7.043627
Liñares,42.6981646,-7.074383
Alto de San Roque,42.6986701,-7.084319499999999
Hospital de la Condesa,42.7050527,-7.1006125
Padornelo,42.0331797,-6.8361049
Alto de Poio,42.7121015,-7.1265309
Fonfría,41.6361537,-6.1387814
O Biduedo,42.7432196,-7.178233400000001
Fillobal,42.7440495,-7.204707099999999
Triacastela,42.7634462,-7.2113605
San Cristovo do Real,42.7405262,-7.2735469
Samos,37.7547857,26.9777701
Calvor,42.7725414,-7.351024299999999
San Mamede do Camiño,42.7429935,-7.3338787
Sarria,42.7808389,-7.4140766
Barbadelo,42.7642842,-7.4536742
Molino de Marzán,42.7724653,-7.480033199999999
Morgade,41.7514777,-7.747419099999998
Ferreiros,-7.448966400000001,-35.2442997
A Pena,26.2502446,-98.1995579
Mercadoiro,42.7895324,-7.570599499999999
Vilachá,42.79537680000001,-7.6036281
Portomarín,42.8074277,-7.615830099999999
Toxibó,42.8123844,-7.6644755
Gonzar,42.82497559999999,-7.695852199999999
Castromaior,42.8318222,-7.7089158
Hospital de la Cruz,20.64208,-103.3842249
Ventas de Narón,42.8442835,-7.748630400000001
Ligonde,42.8586546,-7.7800446
Airexe,42.8642014,-7.787518200000001
Portos,33.8524213,-117.9974191
Lestedo,42.7972751,-8.469101
Palas de Rei,42.8734666,-7.868758799999999
San Xulián do Camiño,42.8736767,-7.907957399999999
Pontecampaña,42.8784643,-7.914688899999999
Casanova,32.7298691,-116.9678621
O Coto,42.1833333,-8.7880556
Leboeiro,42.8880787,-7.970460200000001
Furelos,42.9094875,-7.999141000000001
Melide,42.9128344,-8.024700500000002
Boente,39.27841129999999,-89.8720464
Castañeda,27.8571206,-97.6311394
Ribadiso de Baixo,42.9382451,-8.1545114
Arzúa,42.9296884,-8.1607836
Bebedeiro-Burres,42.9216667,-8.2069444
Salceda,34.0441404,-118.3098332
A Brea,33.9102667,-117.9028157
Santa Irene,29.1263583,-111.0349593
A Rúa (O Pino),42.9145175,-8.350944199999999
Pedrouzo,42.9045519,-8.3625168
Amenal,42.9065146,-8.394095799999999
San Paio,42.9089758,-8.426304499999999
Lavacolla,42.8991871,-8.4445271
Capilla de San Marcos,32.4643401,-116.8321002
Monte do Gozo,32.7148569,-114.7345611
Santiago de Compostela,42.8782132,-8.5448445
